epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,0.596056,0.91473,3.96699,1.06757,0.00333,1,0.00585,0.00585,0.29665,3.78495,0.6761,0,0,0
2,1.38268,0.90892,3.09233,1.00008,0.00333,1,0.00614,0.00614,0.26871,3.78445,0.63813,1.934e-05,1.934e-05,1.934e-05
3,2.19576,2.06971,3.62252,1.29526,0.00333,1,0.00682,0.00682,0.22415,3.77641,0.62613,3.736e-05,3.736e-05,3.736e-05
4,2.97674,1.13757,3.88675,1.58787,0.00333,1,0.00672,0.00672,0.21685,3.76577,0.61339,5.406e-05,5.406e-05,5.406e-05
5,3.77555,1.19121,3.41767,0.93927,0.00333,1,0.00716,0.00716,0.20241,3.74891,0.60398,6.944e-05,6.944e-05,6.944e-05
6,4.57447,0.96726,3.13106,0.98679,0.00333,1,0.00737,0.00737,0.18196,3.74596,0.59255,8.35e-05,8.35e-05,8.35e-05
7,5.35675,1.2597,4.31338,1.08051,0.00333,1,0.00732,0.00732,0.16357,3.75341,0.58338,9.624e-05,9.624e-05,9.624e-05
8,6.15491,1.07747,2.98718,0.94924,0.00333,1,0.00716,0.00716,0.12986,3.76386,0.57671,0.00010766,0.00010766,0.00010766
9,6.94741,1.17629,3.09979,0.99154,0.00333,1,0.00721,0.00721,0.1018,3.75831,0.56842,0.00011776,0.00011776,0.00011776
10,7.84438,0.67255,3.24223,0.92084,0.00333,1,0.00732,0.00732,0.10316,3.75676,0.57125,0.00012654,0.00012654,0.00012654
11,8.62219,2.16067,4.56209,1.46098,0.00333,1,0.00663,0.00663,0.11711,3.7636,0.57368,0.000134,0.000134,0.000134
12,9.43778,1.30223,3.52205,1.08528,0.00333,1,0.00614,0.00614,0.14832,3.75879,0.57644,0.00014014,0.00014014,0.00014014
13,10.2126,0.71198,3.1868,0.9494,0.00333,1,0.00592,0.00592,0.16996,3.75005,0.58105,0.00014496,0.00014496,0.00014496
14,11.0576,0.99732,2.68734,0.99346,0.00333,1,0.995,0.10462,0.19558,3.76741,0.58748,0.00014846,0.00014846,0.00014846
15,11.8745,0.56209,3.40865,0.82367,0.00333,1,0.995,0.30246,0.22285,3.77869,0.59679,0.00015064,0.00015064,0.00015064
16,12.7033,0.78647,2.47218,1.00302,0.00333,1,0.995,0.597,0.24658,3.78584,0.60047,0.0001515,0.0001515,0.0001515
17,13.4817,1.20344,2.5269,0.91133,0.00333,1,0.995,0.8955,0.39421,3.683,0.66557,0.00015104,0.00015104,0.00015104
18,14.2379,1.34776,3.40659,1.16412,0.00333,1,0.995,0.8955,0.39421,3.683,0.66557,0.00014926,0.00014926,0.00014926
19,15.0483,0.86027,2.10654,0.80894,0.00333,1,0.995,0.8955,0.41058,3.46917,0.67891,0.00014616,0.00014616,0.00014616
20,15.8336,0.84389,2.7052,0.89537,0.00333,1,0.995,0.8955,0.41058,3.46917,0.67891,0.00014174,0.00014174,0.00014174
21,16.7034,0.90661,2.98362,1.08189,0.00333,1,0.995,0.995,0.34376,3.46574,0.6718,0.000136,0.000136,0.000136
22,17.4738,0.75136,2.7656,1.0545,0.00333,1,0.995,0.995,0.34376,3.46574,0.6718,0.00012894,0.00012894,0.00012894
23,18.3285,1.18387,2.79733,0.96895,0.00333,1,0.995,0.995,0.41363,3.42339,0.69835,0.00012056,0.00012056,0.00012056
24,19.0693,0.53559,1.97304,0.83236,0.00333,1,0.995,0.995,0.41363,3.42339,0.69835,0.00011086,0.00011086,0.00011086
25,19.9224,0.51845,2.37383,0.85439,0.00333,1,0.995,0.8955,0.3771,3.46844,0.68064,9.984e-05,9.984e-05,9.984e-05
26,20.7834,0.5923,2.3842,0.79579,0.00333,1,0.995,0.8955,0.3771,3.46844,0.68064,8.75e-05,8.75e-05,8.75e-05
27,21.6452,0.91808,3.81873,0.90189,0.00333,1,0.995,0.8955,0.3629,3.45586,0.67868,7.384e-05,7.384e-05,7.384e-05
28,22.411,0.80921,2.85446,1.04576,0.00333,1,0.995,0.8955,0.3629,3.45586,0.67868,5.886e-05,5.886e-05,5.886e-05
29,23.2602,0.57734,2.35611,1.03177,0.00333,1,0.995,0.8955,0.32675,3.48061,0.67356,4.256e-05,4.256e-05,4.256e-05
30,24.0072,0.98911,3.33402,0.80241,0.00333,1,0.995,0.8955,0.32675,3.48061,0.67356,2.494e-05,2.494e-05,2.494e-05
